video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
HJ_LcVJGpUI,"PlayStation Evolution - Fat, Slim & Pro",1261,206,1041132,9849,375,eldanber,415000
RgvBizZQAJc,"Calma, emocionado! #xbox #playstation #nintendo #futebol #flamengo #palmeiras #lula bolsonaro #trump",337,13,71,8,4,Jorge Júnior,684
rfkigmfjplk,떴다!!! 플스 10월 세일🎉 역대 최저가&첫 할인 AAA급 게임 추천!,828,13,73035,753,60,쎈축용쓰TV,110000
wI3UMLICZFc,BRKsEDU COMENTA SOBRE XBOX E GAME PASS NO BRASIL,64,11,8613,437,13,8Bits Games,8500
J5idqbH41CA,PS5 De Pobre?,13,14,424294,15197,289,Studio CI,1960000
fQEuduXkJBA,"Little Nightmares 2 TV Edition || PlayStation,  Nintendo, Xbox || Brutal edición coleccionista",60,1226,30653,,33,Family Manker ,7460
m_GVYmyhqPQ,"Ofertas 10.10 e Cupons na SHOPEE! As Melhores PROMOÇÕES de Game Stick, Switch, PS4 e Xbox",335,11,1668,179,5,Ruivo ™,283000
8VPymfUe01E,"PS5 Mini Review & GamePlay - M15 Plus 4K Game Stick Console with 20,000+ Games Inside!",760,312,315639,2025,298,Ultra Value Tech,38300
W0ahlkChJi0,Silent Hill 2 y la culpa de james. #nintendo #playstation #xbox #pcgaming #silenthill2 #shorts,94,13,770,,0,YuaGM,53
e1DVWaEGH5Q,SEGURO TE PASA LO MISMO #jondarkie #vidagamer #memesgamer #nintendo #xbox #playstation #android,41,13,1023,11,0,Jondarkie,31000
6ij7U57pAiU,No he conocido generación mas egoísta que esta 😔😔🎮🎮 #playstation #xbox #nintendo #memes #videojuegos,52,14,330410,34327,856,El Stan18,292000
gZoLrfLcIVg,Nintendo Direct: Partner Showcase 7.31.2025,1655,81,2722021,71906,8691,Nintendo of America,10000000
DbyF1Xnuki8,De PlayStation à Xbox Series X : AVIS et BILAN COMPLET après un an,471,1253,84717,2649,442,Presse-citron,89700
vpHAEAX15Pc,NINTENDO SWITCH 2 SALVA LAS VENTAS DE CONSOLAS,772,12,669,68,43,ProGamerSchool,4810
HAWBzGxXs1o,XBOX sigue improvisando con GAME PASS 🔥 Call of Duty vs Battlefield y el caos total,1201,11,32061,2170,137,BigData News,349000
zIfhAGGkwJo,🧐 Qué es MEJOR comprar la NINTENDO SWITCH o la PLAYSTATION 4,620,2502,542952,20752,3724,Ray Bacon,2820000
